Forecast #,    Forecast Issue Date,    1week,    2week
         1,                 9/6/21,      250,      100
         2,                9/13/21,      212.0,    146.36 
         3,                9/20/21,         ,
         4,                9/27/21,         ,
         5,                10/4/21,         ,
         6,               10/11/21,         ,
         7,               10/18/21,         ,
         8,               10/25/21,         ,
         9,                11/1/21,         ,
        10,               11/8/21,,
        11,               11/15/21,         ,
        12,               11/22/21,         ,
        13,               11/29/21,         ,